Good Guy ID,Bank,Defense Level,Strategy,Last Action,Attack Count,Turns
3617,65.0,87,analyst,defense,1,100
3618,510,49,random,money,0,100
3619,550,45,random,money,0,100
3620,375.59999999999997,33,one_two_one,money,2,100
3621,550.4,33,one_two_one,money,2,100
3622,65.0,87,analyst,defense,1,100
3623,65.0,87,analyst,defense,1,100
3624,480.0,52,random,defense,1,100
3625,330,67,two_one_two,defense,0,100
3626,360.0,1,not_weakest,money,3,100
3627,10.0,99,be_strongest,defense,1,100
3628,250.0,33,one_two_one,money,3,100
3629,65.0,87,analyst,defense,2,100
3630,10.0,99,be_strongest,defense,1,100
3631,0.0,0,copycat,money,17,100
3632,0.0,0,copycat,money,18,100
3633,50.0,0,copycat,money,16,100
3634,50.0,90,analyst,defense,1,100
3635,35.0,95,late_planner,defense,1,100
3636,440,56,random,money,0,100
3637,427.0,56,random,defense,1,100
3638,35.0,95,late_planner,defense,1,100
3639,36.0,94,analyst,defense,1,100
3640,330.0,67,two_one_two,defense,1,100
3641,30.0,95,late_planner,defense,4,100
3642,35.0,95,late_planner,defense,2,100
3643,366.70000000000005,33,one_two_one,money,3,100
3644,35.0,95,late_planner,defense,3,100
3645,65.0,87,analyst,defense,2,100
3646,10.0,99,be_strongest,defense,1,100
3647,480.0,52,random,money,1,100
3648,180.0,1,not_weakest,money,4,100
3649,330.0,67,two_one_two,defense,1,100
3650,292.0,44,random,money,2,100
3651,50.0,0,copycat,money,16,100
3652,540.0,1,not_weakest,money,3,100
3653,240.0,1,not_weakest,money,4,100
3654,30.0,95,late_planner,defense,3,100
3655,10,99,be_strongest,defense,0,100
3656,330,67,two_one_two,defense,0,100
3657,50.0,0,copycat,money,16,100
3658,240.0,1,not_weakest,money,3,100
3659,10.0,99,be_strongest,defense,1,100
3660,59.999999999999986,85,analyst,defense,1,100
3661,30.0,95,late_planner,defense,2,100
3662,500,50,random,money,0,100
3663,240.0,1,not_weakest,money,3,100
3664,50.0,0,copycat,money,16,100
3665,32.0,96,late_planner,defense,2,100
3666,10,99,be_strongest,defense,0,100
3667,59.999999999999986,85,analyst,defense,2,100
3668,10,99,be_strongest,defense,0,100
3669,35.0,95,late_planner,defense,1,100
3670,30.0,0,copycat,money,17,100
3671,50.0,0,copycat,money,16,100
3672,59.999999999999986,85,analyst,defense,2,100
3673,480,52,random,defense,0,100
3674,550.0,43,random,money,1,100
3675,28.0,95,late_planner,defense,2,100
3676,240.0,1,not_weakest,money,3,100
3677,35.0,95,late_planner,defense,2,100
3678,35.0,95,late_planner,defense,2,100
3679,16.799999999999997,95,late_planner,defense,4,100
3680,35.0,95,late_planner,defense,2,100
3681,180.0,33,one_two_one,money,3,100
3682,550.4,33,one_two_one,money,2,100
3683,35.0,95,late_planner,defense,1,100
3684,10.0,99,be_strongest,defense,1,100
3685,59.999999999999986,85,analyst,defense,1,100
3686,316.0,67,two_one_two,defense,1,100
3687,59.999999999999986,85,analyst,defense,2,100
3688,516.0,45,random,money,1,100
3689,410,59,random,money,0,100
3690,10.0,99,be_strongest,defense,1,100
3691,514.08,33,one_two_one,money,3,100
3692,50.0,0,copycat,money,16,100
3693,180.0,33,one_two_one,money,3,100
3694,520,48,random,money,0,100
3695,240.0,1,not_weakest,money,3,100
3696,30.0,95,late_planner,defense,1,100
3697,460,54,random,money,0,100
3698,30.0,0,copycat,money,17,100
3699,10,99,be_strongest,defense,0,100
3700,50.0,0,copycat,money,16,100
3701,504.0,33,one_two_one,money,2,100
3702,30.0,1,not_weakest,money,4,100
3703,330.0,67,two_one_two,defense,1,100
3704,330,67,two_one_two,defense,0,100
3705,150.0,1,not_weakest,money,4,100
3706,35.0,95,late_planner,defense,2,100
3707,330,67,two_one_two,defense,0,100
3708,50.0,0,copycat,money,16,100
3709,10,99,be_strongest,defense,0,100
3710,50.0,0,copycat,money,83,100
3711,35.999999999999986,85,analyst,defense,2,100
3712,330,67,two_one_two,defense,0,100
3713,330,67,two_one_two,defense,0,100
3714,10,99,be_strongest,defense,0,100
3715,550.4,33,one_two_one,money,2,100
